"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"Australian Equities","13727.005","1.0432720028877385","1.2203","16751.0642015","3.327597026763424","","0","null","0","0","False","True","Concise Mid Cap Fund","CAM0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","63158.76717252","12.546482022228844","8/08/2016"
"","16036.169","1.7857369799482656","1.26638","20307.88369822","4.034158821264803","","0","null","0","0","False","True","Perpetual W/S Australian Share Fund","PER0049AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"","2836.197","10.079098877828303","9.2024","26099.8192728","5.184726174200616","","0","null","0","0","False","True","Schroder Australian Equity Fund","SCH0002AU","Managed Funds - Australian Equities - General","Australian Equities","","",""
"International Equities","15077.643","0.9402000034090209","1.0372","15638.5313196","3.106592494427175","","0","null","0","0","False","True","BT Global Emerging Markets Opp Fund - Wholesale","BTA0419AU","Managed Funds - International Equities","International Equities","97689.8486512","19.406077488950995",""
"","14853.559","1.3294706002783576","0.9658","14345.5672822","2.84974533326717","","0","null","0","0","False","True","MFS Fully Hedged Global Equity Trust","ETL0041AU","Managed Funds - International Equities","International Equities","","",""
"","18131.757","1.299257429933569","1.2914","23415.3509898","4.651456850562562","","0","null","0","0","False","True","RARE Infrastructure Value Fund - Unhedged","TGP0034AU","Managed Funds - International Equities","International Equities","","",""
"","23331.612","1.7758631508187261","1.8983","44290.3990596","8.798282810694086","","0","null","0","0","False","True","Zurich Investments Unhdgd Global Growth Share Fund","ZUR0581AU","Managed Funds - International Equities","International Equities","","",""
"Property","14031.378","1.5932690288865428","1.8728","26277.9647184","5.220114747008839","","0","null","0","0","False","True","APN AREIT Fund","APN0008AU","Managed Funds - Australian Property Securities","Property","26277.9647184","5.220114747008839",""
"Australian Fixed Interest","40735.901","1.0769323599838874","1.05148","42832.98518348","8.508767707498052","","0","null","0","0","False","True","AMP Capital Corporate Bond Fund A","AMP0557AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","116497.13804928","23.14214342062632",""
"","37706.534","1.0789907128562917","1.073","40459.110982","8.037197863353589","","0","null","0","0","False","True","Janus Henderson Tactical Income Fund","IOF0145AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"","29801.689","1.1196130528038193","1.1142","33205.0418838","6.596177849774677","","0","null","0","0","False","True","Schroder Fixed Income Fund - Wholesale Class","SCH0028AU","Managed Funds - Australian Fixed Interest","Australian Fixed Interest","","",""
"International Fixed Interest","18311.658","1.0359362325355792","0.9685","17734.840773","3.5230241324651486","","0","null","0","0","False","True","Lazard Emerging Markets Total Return Debt Fund","LAZ0023AU","Managed Funds - International Fixed Interest","International Fixed Interest","71467.7732002","14.19706513864908",""
"","14493.83","1.9560999404574222","1.7678","25622.192674","5.089845703864428","","0","null","0","0","False","True","Magellan Global Fund","MGE0001AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"","28091.076","1.018863072386405","1.0007","28110.7397532","5.584195302319504","","0","null","0","0","False","True","PIMCO Global Bond Fund - Wholesale Class","ETL0018AU","Managed Funds - International Fixed Interest","International Fixed Interest","","",""
"Cash","0","0","0","47453.85","9.42670198555728","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","52453.85","10.419951425334798",""
