"endDate","date","cumulativeReturn","monthlyReturn"
"2017-09-08T00:00:00+10:00","8/09/2017","-0.0048048579","-0.0048048579"
"2017-10-08T00:00:00+11:00","8/10/2017","0.0305043303","0.0354796629"
"2017-11-08T00:00:00+11:00","8/11/2017","0.1146026278","0.0816088735"
"2017-12-08T00:00:00+11:00","8/12/2017","0.1115758792","-0.0021107644"
"2018-01-08T00:00:00+11:00","8/01/2018","0.1387798353","0.0245538998"
"2018-02-08T00:00:00+11:00","8/02/2018","0.0981620072","-0.0341759042"
"2018-03-08T00:00:00+11:00","8/03/2018","0.1128239836","0.0133731622"
"2018-04-08T00:00:00+10:00","8/04/2018","0.1073789907","-0.0045024696"
"2018-05-08T00:00:00+10:00","8/05/2018","0.1227976726","0.0139021943"
"2018-06-08T00:00:00+10:00","8/06/2018","0.1313517107","0.0077045065"
"2018-07-08T00:00:00+10:00","8/07/2018","0.1504079011","0.0167794716"
"2018-08-08T00:00:00+10:00","8/08/2018","0.1376563636","-0.0107782016"
