"assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","date"
"Australian Equities","800","13.015","15.38","12304","0.7870474052840037","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","736985.5848215","47.142603402590666","8/08/2016"
"","500","20.79","19.87","9935","0.635510075706809","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","",""
"","3667","31.01581674393237","25.7","94241.9","6.028351988299296","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","",""
"","450","23.164444444444445","20.48","9216","0.5895179524624007","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","",""
"","300","31.206666666666667","33.3","9990","0.6390282492512351","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","",""
"","815","75.08494478527608","77.2","62918","4.024662601240161","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","",""
"","74082.037","1.772313307205632","2.3195","171833.2848215","10.991623940197396","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","",""
"","200000","0","0.017","3400","0.2174870918372572","","0","null","0","0","False","True","Future Generation Glb Invest Co Opt Exp 15/09/2017","FGGO","ASX - Delisted Shares","Australian Equities","","",""
"","100000","1.1252","1.135","113500","7.26023085986138","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","",""
"","7700","2.5325974025974025","2.81","21637","1.3840494723772747","","0","null","0","0","False","True","Mirrabooka Investments Ltd","MIR","ASX - Australian Equities LIC","Australian Equities","","",""
"","1400","7.154285714285714","9.15","12810","0.8194146018927249","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","",""
"","1750","5.796428571428572","5.61","9817.5","0.6279939776800801","","0","null","0","0","False","True","Telstra Corporation Limited","TLS","ASX - Australian Shares","Australian Equities","","",""
"","1450","40.421627586206895","42.54","61683","3.9456636134698635","","0","null","0","0","False","True","Wesfarmers Limited","WES","ASX - Australian Shares","Australian Equities","","",""
"","3235","31.979134466769708","30.44","98473.4","6.299027467449107","","0","null","0","0","False","True","Westpac Banking Corporation","WBC","ASX - Australian Shares","Australian Equities","","",""
"","1650","33.337575757575756","27.41","45226.5","2.89299410558168","","0","null","0","0","False","True","Woodside Petroleum Ltd","WPL","ASX - Australian Shares","Australian Equities","","",""
"International Equities","75","188.66306666666668","190.274576","14270.5932","0.9128440629001583","USD","0.76","null","145.56","10917","False","True","Berkshire Hathaway Class B","BRKB.NY","International Shares - NYSE","International Equities","419942.65204","26.86238415606024",""
"","200000","1.1","1.05","210000","13.433026260536474","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","",""
"","20000","2.5500455","2.54","50800","3.24951301921549","","0","null","0","0","False","True","Magellan Global Equities Fund","MGE","ASX - International Equities ETFs","International Equities","","",""
"","5500","1.8436363636363637","1.84","10120","0.6473439321744243","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","",""
"","83000","1.3102409638554218","1.165","96695","6.185268925059878","","0","null","0","0","False","True","Templeton Global Growth Fund Ltd","TGG","ASX - International Equities LIC","International Equities","","",""
"","20824.656","1.9208000362647046","1.8275","38057.05884","2.434387956173818","","0","null","0","0","False","True","Vanguard International Shares Index Fund","VAN0003AU","Managed Funds - International Equities","International Equities","","",""
"Property","2100","4.85612380952381","4.7","9870","0.6313522342452142","","0","null","0","0","False","True","Cedar Woods Properties Ltd","CWP","ASX - Listed Property","Property","353853.6","22.63487952945414",""
"","362088","0.016507036963390113","0.95","343983.6","22.003527295208926","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","","",""
"Cash","0","0","0","47529.33","3.0402987525509717","","0","null","0","0","False","True","Cash Account - Available Cash","","_Cash","null","52529.33","3.3601327111351735",""
"","0","0","0","5000","0.31983395858420177","","0","null","0","0","False","True","Cash Account - Minimum Cash","","_Cash","null","","",""
"","0","0","0","0","0","","0","null","0","0","False","True","Cash Account - Pending","","_Cash","null","","",""
"Australian Equities","800","13.015","14.55","11640","0.7064334309935069","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","791309.2781436","48.02468456494661","8/02/2017"
"","500","20.79","22","11000","0.6675917303203244","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","",""
"","3667","31.01581674393237","29.19","107039.73","6.4962580512473025","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","",""
"","450","23.164444444444445","25.74","11583","0.7029740920273015","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","",""
"","300","31.206666666666667","28.41","8523","0.5172622106836476","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","",""
"","815","75.08494478527608","82.35","67115.25","4.073235079852831","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","",""
"","74082.037","1.772313307205632","2.1228","157261.3481436","9.544215956335714","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","",""
"","200000","0","0.01","2000","0.12138031460369533","","0","null","0","0","False","True","Future Generation Glb Invest Co Opt Exp 15/09/2017","FGGO","ASX - Delisted Shares","Australian Equities","","",""
"","100000","1.1252","1.15","115000","6.979368089712482","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","",""
"","49000","0.7404081632653061","0.84","41160","2.4980068745440502","","0","null","0","0","False","True","MFF Capital Investments Ltd Opts Exp 31/10/2017","MFFO","ASX - Delisted Shares","Australian Equities","","",""
"","7700","2.5325974025974025","2.86","22022","1.3365186441012893","","0","null","0","0","False","True","Mirrabooka Investments Ltd","MIR","ASX - Australian Equities LIC","Australian Equities","","",""
"","1400","7.154285714285714","9","12600","0.7646959820032806","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","",""
