"portfolioValuationByAssetClass__assetClassGroups__assetClass","portfolioValuationByAssetClass__assetClassGroups__defaultOrder","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioGroup","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____currentUnits","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____averageCost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____price","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____dollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____percentageValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____nativeCurrency","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____foreignExchangeRate","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____cost","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____foreignCurrencyPrice","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____foreignCurrencyDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____isManagedAccount","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____isHeldByClient","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetName","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetCode","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetClassification","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__portfolioValuations____assetClassType","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalDollarValue","portfolioValuationByAssetClass__assetClassGroups__assetAllocations__totalPercentageValue","portfolioValuationByAssetClass__assetClassGroups__value","portfolioValuationByAssetClass__assetClassGroups__percentage","portfolioValuationByAssetClass__totalPortfolioValue","portfolioValuationByAssetClass__totalPortfolioPercentage","portfolioValuationByAssetClass__totalLiabilities","portfolioValuationByAssetClass__netAssets","assetAllocations__portfolioGroup","assetAllocations__portfolioValuations__currentUnits","assetAllocations__portfolioValuations__averageCost","assetAllocations__portfolioValuations__price","assetAllocations__portfolioValuations__dollarValue","assetAllocations__portfolioValuations__percentageValue","assetAllocations__portfolioValuations__nativeCurrency","assetAllocations__portfolioValuations__foreignExchangeRate","assetAllocations__portfolioValuations__cost","assetAllocations__portfolioValuations__foreignCurrencyPrice","assetAllocations__portfolioValuations__foreignCurrencyDollarValue","assetAllocations__portfolioValuations__isManagedAccount","assetAllocations__portfolioValuations__isHeldByClient","assetAllocations__portfolioValuations__assetName","assetAllocations__portfolioValuations__assetCode","assetAllocations__portfolioValuations__assetClassification","assetAllocations__portfolioValuations__assetClassType","assetAllocations__totalDollarValue","assetAllocations__totalPercentageValue","topAssetsByValue__portfolioValuations__currentUnits","topAssetsByValue__portfolioValuations__averageCost","topAssetsByValue__portfolioValuations__price","topAssetsByValue__portfolioValuations__dollarValue","topAssetsByValue__portfolioValuations__percentageValue","topAssetsByValue__portfolioValuations__nativeCurrency","topAssetsByValue__portfolioValuations__foreignExchangeRate","topAssetsByValue__portfolioValuations__cost","topAssetsByValue__portfolioValuations__foreignCurrencyPrice","topAssetsByValue__portfolioValuations__foreignCurrencyDollarValue","topAssetsByValue__portfolioValuations__isManagedAccount","topAssetsByValue__portfolioValuations__isHeldByClient","topAssetsByValue__portfolioValuations__assetName","topAssetsByValue__portfolioValuations__assetCode","topAssetsByValue__portfolioValuations__assetClassification","topAssetsByValue__portfolioValuations__assetClassType","topAssetsByValue__totalValue","topAssetsByValue__totalPercentage","productEnum","accountDetails"
"Growth","1","Australian Equities","","800","13.015","14.03","11224","0.4994338851945757","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","927853.5357843","41.2866621764324","2226353.6043399","99.06596849896859","2247344.5143399","100.00000019311236","0","2247344.5143399","Australian Equities","800","13.015","14.03","11224","0.4994338851945757","","0","null","0","0","False","True","Amcor Ltd","AMC","ASX - Australian Shares","Australian Equities","927853.5357843","41.2866621764324","362088","0.016507036963390113","1.19","430884.72","19.173060386722817","","0","null","0","0","False","True","Peet Limited","PPC","ASX - Listed Property","Property","1199848.9657843","53.38963209447135","1","null"
"","","","","500","20.79","28.46","14230","0.6331917486028877","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","","","","","","","","","500","20.79","28.46","14230","0.6331917486028877","","0","null","0","0","False","True","Ansell Ltd","ANN","ASX - Australian Shares","Australian Equities","","","224000","1.0941964285714285","1.425","319200","14.203429807030343","","0","null","0","0","False","True","Future Generation Global Investment Company Ltd","FGG","ASX - International Equities LIC","International Equities","","","",""
"","","","","3667","31.01581674393237","28.82","105682.94","4.702569611812654","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","","","","","","","","","3667","31.01581674393237","28.82","105682.94","4.702569611812654","","0","null","0","0","False","True","Australia and New Zealand Banking Group Ltd","ANZ","ASX - Australian Shares","Australian Equities","","","74082.037","1.772313307205632","2.3239","172159.2457843","7.660563167696083","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","","",""
"","","","","450","23.164444444444445","33.94","15273","0.6796020784548071","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","","","","","","","","","450","23.164444444444445","33.94","15273","0.6796020784548071","","0","null","0","0","False","True","BHP Billiton Ltd","BHP","ASX - Australian Shares","Australian Equities","","","54500","1.747588990825688","2.69","146605","6.523476901189484","","0","null","0","0","False","True","MFF Capital Investments Limited","MFF","ASX - International Equities LIC","International Equities","","","",""
"","","","","300","31.206666666666667","33.23","9969","0.4435901997064082","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","","","","","","","","","300","31.206666666666667","33.23","9969","0.4435901997064082","","0","null","0","0","False","True","Caltex Australia Ltd","CTX","ASX - Australian Shares","Australian Equities","","","100000","1.1252","1.31","131000","5.829101831832628","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","","",""
"","","","","815","75.08494478527608","74.81","60970.15","2.712986359176413","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","","","","","","","","","815","75.08494478527608","74.81","60970.15","2.712986359176413","","0","null","0","0","False","True","Commonwealth Bank of Australia","CBA","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","74082.037","1.772313307205632","2.3239","172159.2457843","7.660563167696083","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","","","","","","","","","74082.037","1.772313307205632","2.3239","172159.2457843","7.660563167696083","","0","null","0","0","False","True","Eley Griffiths Group Small Companies Fund","EGG0001AU","Managed Funds - Australian Equities - Small Cap","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","100000","1.1252","1.31","131000","5.829101831832628","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","","","","","","","","","100000","1.1252","1.31","131000","5.829101831832628","","0","null","0","0","False","True","Future Generation Investment Company Limited","FGX","ASX - Australian Equities LIC","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","3250","5.255046153846154","7.49","24342.5","1.0831672621479829","","0","null","0","0","False","True","Netwealth Group Limited","NWL","ASX - Australian Shares","Australian Equities","","","","","","","","","","3250","5.255046153846154","7.49","24342.5","1.0831672621479829","","0","null","0","0","False","True","Netwealth Group Limited","NWL","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
"","","","","1400","7.154285714285714","14.54","20356","0.9057801289220228","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","","","","","","","","","1400","7.154285714285714","14.54","20356","0.9057801289220228","","0","null","0","0","False","True","ResMed Inc","RMD","ASX - Australian Shares","Australian Equities","","","","","","","","","","","","","","","","","","","","","",""
